file,length,cluster
./data\eight\eight-041.json,0.8341666666666667,0
./data\eight\eight-049.json,1.0010000000000001,0
./data\eight\eight-052.json,2.4024,0
./data\eight\eight-103.json,2.7027,0
./data\eight\eight-104.json,2.2355666666666667,0
./data\four\four-057.json,0.92,0
./data\five\five-001.json,0.8675333333333334,1
./data\five\five-081.json,1.2345666666666666,1
./data\two\two-064.json,2.3023000000000002,1
./data\five\five-005.json,3.636966666666667,2
./data\five\five-050.json,1.9019,2
./data\five\five-068.json,0.5338666666666667,2
./data\five\five-076.json,1.8018,2
./data\six\six-023.json,2.769433333333333,2
./data\eight\eight-003.json,3.636966666666667,3
./data\eight\eight-027.json,1.1011,3
./data\eight\eight-035.json,3.1031,3
./data\eight\eight-039.json,0.7007,3
./data\eight\eight-120.json,3.5368666666666666,3
./data\five\five-039.json,3.2365666666666666,3
./data\five\five-042.json,1.3680333333333334,3
./data\five\five-067.json,3.2032000000000003,3
./data\five\five-075.json,1.8351666666666666,3
./data\ten\ten-003.json,3.9706333333333332,3
./data\six\six-037.json,1.5348666666666666,4
./data\six\six-038.json,1.8018,4
./data\six\six-086.json,4.1041,4
./data\one\one-005.json,3.6703333333333332,5
./data\one\one-014.json,3.069733333333333,5
./data\one\one-016.json,2.2689333333333335,5
./data\one\one-018.json,3.4367666666666667,5
./data\one\one-026.json,2.769433333333333,5
./data\one\one-028.json,2.435766666666667,5
./data\one\one-040.json,0.9676333333333333,5
./data\one\one-041.json,3.5368666666666666,5
./data\one\one-046.json,4.170833333333333,5
./data\one\one-047.json,1.2345666666666666,5
./data\one\one-052.json,3.9706333333333332,5
./data\six\six-032.json,2.0353666666666665,6
./data\six\six-033.json,1.4014,6
./data\six\six-035.json,1.4347666666666667,6
./data\six\six-047.json,0.7674333333333333,6
./data\six\six-050.json,1.9352666666666667,6
./data\six\six-064.json,1.2679333333333334,6
./data\six\six-070.json,0.5672333333333334,6
./data\six\six-072.json,3.7370666666666668,6
./data\five\five-002.json,3.2032000000000003,7
./data\five\five-065.json,2.435766666666667,7
./data\five\five-066.json,2.1021,7
./data\five\five-077.json,3.1364666666666667,7
./data\six\six-095.json,1.7350666666666668,8
./data\thirteen\thirteen-005.json,1.7017,8
./data\thirteen\thirteen-007.json,2.6693333333333333,8
./data\thirteen\thirteen-009.json,1.6016000000000001,8
./data\thirteen\thirteen-010.json,1.1344666666666667,8
./data\thirteen\thirteen-011.json,1.7017,8
./data\thirteen\thirteen-013.json,1.6683333333333334,8
./data\thirteen\thirteen-014.json,0.8008000000000001,8
./data\thirteen\thirteen-015.json,0.9342666666666667,8
./data\thirteen\thirteen-016.json,0.7674333333333333,8
./data\eight\eight-063.json,1.4347666666666667,9
./data\eight\eight-069.json,2.2022,9
./data\eight\eight-081.json,3.4367666666666667,9
./data\three\three-005.json,3.2365666666666666,10
./data\three\three-007.json,0.8675333333333334,10
./data\three\three-012.json,0.9342666666666667,10
./data\three\three-041.json,1.7684333333333333,10
./data\three\three-042.json,3.003,10
./data\three\three-043.json,3.036366666666667,10
./data\three\three-047.json,1.9019,10
./data\three\three-053.json,2.1021,10
