file,length,cluster
./data\two\two-010.json,2.5692333333333335,0
./data\two\two-027.json,2.5025,0
./data\two\two-043.json,2.5692333333333335,0
./data\eight\eight-013.json,2.2355666666666667,1
./data\eight\eight-054.json,2.0353666666666665,1
./data\eight\eight-117.json,1.5015,1
./data\eight\eight-126.json,1.0010000000000001,1
./data\five\five-011.json,3.8371666666666666,1
./data\five\five-022.json,0.8341666666666667,1
./data\five\five-074.json,3.5035000000000003,1
./data\seven\seven-020.json,0.6006,1
./data\six\six-062.json,1.1011,1
./data\two\two-015.json,3.5702333333333334,1
./data\two\two-024.json,4.170833333333333,1
./data\two\two-026.json,2.5025,1
./data\two\two-060.json,2.135466666666667,1
./data\six\six-095.json,1.7350666666666668,2
./data\eight\eight-017.json,1.7017,3
./data\six\six-019.json,1.2679333333333334,3
./data\six\six-023.json,2.769433333333333,3
./data\six\six-065.json,0.9009,3
./data\six\six-077.json,0.6339666666666667,3
./data\six\six-080.json,2.1021,3
./data\six\six-082.json,1.2679333333333334,3
./data\six\six-084.json,1.9019,3
./data\six\six-085.json,2.5025,3
./data\eight\eight-106.json,2.469133333333333,4
./data\eight\eight-094.json,0.8675333333333334,5
./data\eight\eight-130.json,0.9676333333333333,5
./data\five\five-010.json,1.5015,5
./data\one\one-024.json,3.003,5
./data\one\one-048.json,0.6673333333333333,5
./data\thirteen\thirteen-004.json,1.8351666666666666,5
./data\two\two-001.json,3.069733333333333,5
./data\two\two-046.json,0.8675333333333334,5
./data\two\two-058.json,2.736066666666667,5
./data\eight\eight-024.json,0.9009,6
./data\eight\eight-113.json,1.3680333333333334,6
./data\six\six-014.json,1.4681333333333333,7
./data\five\five-004.json,3.336666666666667,8
./data\five\five-030.json,3.336666666666667,8
./data\five\five-069.json,0.7340666666666666,8
./data\five\five-076.json,1.8018,8
./data\eleven\eleven-002.json,1.2333333333333334,9
./data\fifteen\fifteen-009.json,1.0677333333333334,9
./data\fifteen\fifteen-029.json,2.2022,9
./data\thirteen\thirteen-002.json,1.2012,9
./data\thirteen\thirteen-017.json,0.9009,9
./data\thirteen\thirteen-018.json,0.6339666666666667,9
./data\fifteen\fifteen-010.json,0.9009,10
./data\six\six-007.json,3.336666666666667,10
./data\six\six-011.json,3.9039,10
./data\six\six-026.json,1.1011,10
./data\six\six-056.json,1.3680333333333334,10
./data\six\six-004.json,1.2679333333333334,11
./data\six\six-103.json,3.636966666666667,11
./data\eight\eight-122.json,0.8675333333333334,12
./data\fifteen\fifteen-002.json,0.5672333333333334,13
./data\fifteen\fifteen-003.json,0.5005000000000001,13
./data\fifteen\fifteen-006.json,0.5005000000000001,13
./data\fifteen\fifteen-012.json,2.0353666666666665,13
./data\fifteen\fifteen-021.json,0.6006,13
./data\fifteen\fifteen-022.json,1.3013000000000001,13
./data\fifteen\fifteen-023.json,1.2345666666666666,13
./data\two\two-028.json,1.8018,14
./data\two\two-030.json,3.1698333333333335,14
./data\eight\eight-018.json,3.7370666666666668,15
./data\eight\eight-034.json,1.0677333333333334,15
./data\eight\eight-053.json,0.5005000000000001,15
./data\eight\eight-055.json,0.5005000000000001,15
./data\six\six-002.json,2.8028,15
./data\eight\eight-123.json,0.9342666666666667,16
./data\eight\eight-124.json,0.9342666666666667,17
./data\thirteen\thirteen-001.json,0.8675333333333334,17
./data\thirteen\thirteen-010.json,1.1344666666666667,17
./data\thirteen\thirteen-014.json,0.8008000000000001,17
./data\six\six-022.json,2.8361666666666667,18
./data\six\six-027.json,2.0353666666666665,18
./data\six\six-067.json,0.8341666666666667,18
./data\eight\eight-071.json,1.7017,19
./data\eight\eight-075.json,2.8028,19
./data\two\two-053.json,4.1041,19
./data\five\five-077.json,3.1364666666666667,20
./data\one\one-002.json,2.6026000000000002,20
./data\one\one-025.json,3.4034,20
./data\one\one-029.json,0.9009,20
./data\seven\seven-013.json,1.7017,20
./data\seven\seven-028.json,1.4681333333333333,20
./data\seven\seven-031.json,3.9039,20
./data\fifteen\fifteen-015.json,0.8008000000000001,21
./data\six\six-081.json,1.9019,21
./data\five\five-001.json,0.8675333333333334,22
./data\two\two-064.json,2.3023000000000002,22
./data\one\one-001.json,1.0677333333333334,23
./data\one\one-003.json,2.9362666666666666,23
./data\one\one-004.json,2.435766666666667,23
./data\one\one-007.json,3.9039,23
./data\one\one-009.json,2.5025,23
./data\one\one-012.json,1.8018,23
./data\one\one-017.json,1.4347666666666667,23
./data\one\one-020.json,1.5015,23
./data\one\one-021.json,2.9696333333333333,23
./data\one\one-027.json,1.9686333333333335,23
./data\one\one-030.json,2.135466666666667,23
./data\one\one-032.json,2.6026000000000002,23
./data\one\one-034.json,3.003,23
./data\one\one-035.json,1.4681333333333333,23
./data\one\one-036.json,2.9029000000000003,23
./data\one\one-037.json,3.4034,23
./data\one\one-043.json,2.6693333333333333,23
./data\one\one-049.json,2.135466666666667,23
./data\one\one-050.json,1.9352666666666667,23
./data\eight\eight-026.json,0.9676333333333333,24
./data\eight\eight-118.json,1.5348666666666666,24
./data\seven\seven-023.json,0.7340666666666666,25
./data\two\two-019.json,2.0687333333333333,25
./data\two\two-049.json,3.6703333333333332,25
./data\two\two-054.json,4.170833333333333,25
./data\two\two-056.json,1.6349666666666667,25
./data\two\two-008.json,2.6359666666666666,26
./data\two\two-023.json,3.7370666666666668,26
./data\two\two-025.json,3.2032000000000003,26
./data\two\two-040.json,1.7350666666666668,26
./data\two\two-042.json,0.7007,26
./data\seven\seven-004.json,2.7027,27
./data\seven\seven-006.json,2.9029000000000003,27
./data\seven\seven-029.json,0.8008000000000001,27
./data\seven\seven-030.json,2.135466666666667,27
./data\two\two-021.json,1.1011,27
./data\fifteen\fifteen-014.json,0.5338666666666667,28
./data\six\six-010.json,3.8371666666666666,28
./data\sixteen\sixteen-001.json,0.8675333333333334,28
./data\eight\eight-029.json,1.1678333333333333,29
./data\eight\eight-093.json,1.6016000000000001,29
./data\eight\eight-099.json,0.9009,29
./data\eight\eight-121.json,2.6359666666666666,29
./data\eight\eight-045.json,1.5682333333333334,30
./data\eight\eight-079.json,2.168833333333333,30
./data\two\two-022.json,1.6683333333333334,31
./data\two\two-050.json,4.1041,31
./data\two\two-051.json,1.8685333333333334,31
./data\two\two-052.json,1.7350666666666668,31
./data\five\five-002.json,3.2032000000000003,32
./data\five\five-078.json,2.3356666666666666,32
./data\five\five-079.json,1.3346666666666667,32
./data\two\two-048.json,0.5005000000000001,32
./data\two\two-055.json,2.3023000000000002,32
./data\eight\eight-063.json,1.4347666666666667,33
./data\eight\eight-061.json,2.6359666666666666,34
./data\eight\eight-092.json,1.2012,34
./data\eight\eight-098.json,1.4347666666666667,34
./data\eight\eight-100.json,2.0687333333333333,34
./data\eight\eight-102.json,1.9352666666666667,34
./data\eight\eight-107.json,2.3356666666666666,34
